Tourist_Spot,Address,Zipcode,lon,lat,geoAddress
St. Mark’s Place,"113 St Marks Pl, New York City, NY 10009-5161",10009,-73.9837576,40.7271099,"113 st marks pl, new york, ny 10009, usa"
Franklin D. Roosevelt Four Freedoms Park,"1 FDR Four Freedoms Park, E. Rd. S. of Rd. 3 Manhattan, NY 10044, Roosevelt Island",10044,-73.9603222,40.7504949,"four freedoms park, new york, ny 10044, usa"
Gray Line CitySightseeing New York Bus Tours,"777 Eighth Ave. Manhattan, NY 10036, Times Square/Theatre District",10036,-73.9875492,40.7608,"777 8th ave, new york, ny 10036, usa"
Abracadabra Superstore,"19 W 21st St Manhattan , NY 10010, Chelsea",10010,-73.9917965,40.7409898,"spero building, 19 w 21st st, new york, ny 10010, usa"
Brooklyn Brewery,"79 N. 11th St. Brooklyn, NY 11211, Williamsburg",11211,-73.9577086,40.7217625,"79 n 11th st, brooklyn, ny 11249, usa"
Kingsland Homestead,"143-35 37th Ave. Queens, NY 11354, Flushing",11354,-73.8241509,40.7635896,"143-35 37th ave, flushing, ny 11354, usa"
French Institute Alliance Française,"22 E. 60th St. Manhattan, NY 10022, Upper East Side",10022,-73.9704042,40.7639231,"22 e 60th st, new york, ny 10022, usa"
Commodore Barry Park,"Nassau Street (bet. Navy St. and N. Elliot Place) Brooklyn, NY 11201, Fort Greene",11201,-73.9775363,40.6980817,"n elliott pl, brooklyn, ny, usa"
Saint Augustine's Episcopal Church,"290 Henry St Manhattan, NY 10002, Lower East Side",10002,-73.9831808,40.7138338,"290 henry st, new york, ny 10002, usa"
Casa Belvedere,"79 Howard Ave. Staten Island, NY 10301, St. George",10301,-74.0880693,40.6284884,"79 howard ave, staten island, ny 10301, usa"
Merchant's House Museum,"29 E. 4th St. Manhattan, NY 10003, Greenwich Village",10003,-73.9923919,40.7276127,"29 e 4th st, new york, ny 10003, usa"
Kissena Park,"164th St and Oak Ave Queens, NY 11358, Flushing",11358,-73.802829,40.7497752,"164th st & oak ave, queens, ny 11358, usa"
Alley Pond Park,"22806 Northern Blvd  Alley Pond Environmental Center Queens, NY 11363, Bayside",11363,-73.7533478,40.7627154,"228-06 northern blvd, douglaston, ny 11362, usa"
The Battery,"Enter on State Street or Battery Place Manhattan, NY 10004, Battery Park City",10004,-74.0175426,40.7068906,"battery pl, new york, ny, usa"
Emmanuel Baptist Church,"279 Lafayette Ave Brooklyn, NY 11238, Fort Greene",11238,-73.9652065,40.6884856,"279 lafayette ave, brooklyn, ny 11238, usa"
UNICEF House—Danny Kaye Visitors Centre,"3 U.N. Plaza, 44th St. btw. First & Second Aves. Manhattan, NY 10016, Midtown East",10016,-73.9698254,40.7502543,"3 united nations plaza, new york, ny 10017, usa"
St. Ann & The Holy Trinity Church,"157 Montague St Brooklyn, NY, Brooklyn Heights",11201,-73.992778,40.6945866,"157 montague st, brooklyn, ny 11201, usa"
Hoodwinked Escape,"151 W. 116th St. Manhattan, NY 10026, Harlem",10026,-73.9520133,40.8032414,"151 w 116th st, new york, ny 10026, usa"
Flatbush Dutch Reformed Church,"890 Flatbush Ave Brooklyn, NY 11226, Flatbush",11226,-73.9589888,40.6501369,"890 flatbush ave, brooklyn, ny 11226, usa"
Staten Island Supreme Courthouse,"18 Richmond Terrace Staten Island, NY 10301, St. George",10301,-74.0766887,40.6429773,"18 richmond terrace, staten island, ny 10301, usa"
Adam Yauch Park,"Atlantic Avenue at Columbia Place Brooklyn, NY 11201, Brooklyn Heights",11201,-73.9998618,40.6917493,"atlantic ave & columbia st, brooklyn, ny 11201, usa"
Islamic Cultural Center of New York,"1711 3rd Avenue New York, NY 10029, Upper East Side",10029,-73.9485819,40.7855765,"1711 3rd ave, new york, ny 10029, usa"
Roosevelt House Public Policy Institute at Hunter College,"47-49 E. 65th St. Manhattan, NY 10065, Upper East Side",10065,-73.9676218,40.7671509,"47 e 65th st #49, new york, ny 10065, usa"
Old Quaker Meeting House,"137-16 Northern Blvd. Queens, NY 11354, Flushing",11354,-73.8303734,40.76299,"137-16 northern blvd, flushing, ny 11354, usa"
Go Select NYC,"Official NYC Information Center, 810 Seventh Ave. Manhattan, NY 10019, Times Square/Theatre District",10019,-73.9895067,40.7507371,"151 w 34th st., new york, ny 10011, usa"
Weeksville Heritage Center,"158 Buffalo Ave Brooklyn, NY 11213 Bedford-Stuyvesant",11213,-73.9252884,40.6739748,"158 buffalo ave, brooklyn, ny 11213, usa"
The Sightseeing Pass,"777 Eighth Ave. Manhattan, NY 10036, Times Square/Theatre District",10036,-73.9875492,40.7608,"777 8th ave, new york, ny 10036, usa"
Hudson Yards New York,"New York, NY 10001, Midtown West",10001,-73.9918181,40.7637581,"hell's kitchen, new york, ny, usa"
